  N  	  t, c   	 X0[0]  	 X0[1]  	 X0[2]  	 X0[3]  	 X0[4]  	 X0[5]  	 X0[6]  	 X0[7]  	 X0[8]  	 X0[9]  	 X0[10]  	 X0[11]  	 V[0]   	 V[1]   	 V[2]   	 Om[0]  	 Om[1]  	 Om[2]  	 Vc[0]  	 Vc[1]  	 Vc[2]  	 rov[0] 	 rov[1] 	 rov[2] 	 Amp[0]  	 Amp[1]  	 Amp[2]  	teta,град	psi, град	fi, град 
c1	0,100000	2,428434	297,600434	0,000434	1,000000	0,000003	-0,000001	-0,000003	1,000000	0,000001	0,000001	-0,000001	1,000000	27,777450	0,007842	0,007744	-0,000028	-0,000017	-0,001494	27,787194	0,007784	0,007782	0,550000	-0,870000	-2,210000	-0,003811	0,006959	0,007778	-0,000150	-0,000030	-0,000030
c2	0,100000	2,428434	297,600434	0,000434	1,000000	0,000003	-0,000001	-0,000003	1,000000	0,000001	0,000001	-0,000001	1,000000	27,777450	0,007842	0,007744	-0,000028	-0,000017	-0,001494	27,787194	0,007784	0,007782	0,550000	-0,870000	2,210000	-0,003887	0,007082	0,007778	-0,000150	-0,000030	-0,000030
c3	0,120000	2,983825	297,600604	0,000603	1,000000	0,000055	-0,000001	-0,000055	1,000000	0,000001	0,000001	-0,000001	1,000000	27,760764	0,011698	0,010120	-0,000031	-0,000021	-0,004048	27,770369	0,010057	0,010030	0,550000	-0,870000	-2,210000	-0,022712	0,009403	0,010158	-0,003127	-0,000053	-0,000067
c4	0,120000	2,983825	297,600604	0,000603	1,000000	0,000055	-0,000001	-0,000055	1,000000	0,000001	0,000001	-0,000001	1,000000	27,760764	0,011698	0,010120	-0,000031	-0,000021	-0,004048	27,770369	0,010057	0,010030	0,550000	-0,870000	2,210000	-0,022804	0,009540	0,010158	-0,003127	-0,000053	-0,000067
c5	0,140000	3,538903	297,600843	0,000841	1,000000	0,000158	-0,000001	-0,000158	1,000000	0,000002	0,000001	-0,000002	1,000000	27,744030	0,016932	0,012447	-0,000028	-0,000025	-0,006599	27,753787	0,012582	0,012519	0,550000	-0,870000	-2,210000	-0,041657	0,013240	0,012485	-0,009035	-0,000078	-0,000099
c6	0,140000	3,538903	297,600843	0,000841	1,000000	0,000158	-0,000001	-0,000158	1,000000	0,000002	0,000001	-0,000002	1,000000	27,744030	0,016932	0,012447	-0,000028	-0,000025	-0,006599	27,753787	0,012582	0,012519	0,550000	-0,870000	2,210000	-0,041765	0,013365	0,012485	-0,009035	-0,000078	-0,000099
c7	0,160000	4,093587	297,601069	0,001066	1,000000	0,000312	-0,000002	-0,000312	1,000000	0,000002	0,000002	-0,000002	1,000000	27,722617	0,018905	0,010092	-0,000037	-0,000032	-0,009130	27,732364	0,010278	0,010167	0,550000	-0,870000	-2,210000	-0,065255	0,013802	0,010142	-0,017851	-0,000111	-0,000138
c8	0,160000	4,093587	297,601069	0,001066	1,000000	0,000312	-0,000002	-0,000312	1,000000	0,000002	0,000002	-0,000002	1,000000	27,722617	0,018905	0,010092	-0,000037	-0,000032	-0,009130	27,732364	0,010278	0,010167	0,550000	-0,870000	2,210000	-0,065397	0,013965	0,010142	-0,017851	-0,000111	-0,000138
c9	0,180000	4,647880	297,601288	0,001281	1,000000	0,000516	-0,000003	-0,000516	1,000000	0,000003	0,000003	-0,000003	1,000000	27,705267	0,026356	0,011799	-0,000022	-0,000034	-0,011669	27,714951	0,011997	0,011825	0,550000	-0,870000	-2,210000	-0,084810	0,019890	0,011836	-0,029571	-0,000149	-0,000173
c10	0,180000	4,647880	297,601288	0,001281	1,000000	0,000516	-0,000003	-0,000516	1,000000	0,000003	0,000003	-0,000003	1,000000	27,705267	0,026356	0,011799	-0,000022	-0,000034	-0,011669	27,714951	0,011997	0,011825	0,550000	-0,870000	2,210000	-0,084960	0,019986	0,011836	-0,029571	-0,000149	-0,000173
